term_lower	term	confidence	origin	defined_in
'non--commutative geometry'	'Non--commutative Geometry'	medium	planetmath	QuantumGroupoids
(ab5).	(Ab5).	medium	planetmath	AbconditionsAb3AndAb5Conditions;GrothendieckCategory
(lie) algebraic methods in quantum chemistry and physics.	(Lie) Algebraic Methods in Quantum Chemistry and Physics.	medium	planetmath	QuantumGroupoids
(linear) sequence of morphisms	(linear) sequence of morphisms	high	planetmath	CategoricalSequence
(linearity)	(linearity)	medium	planetmath	PropertiesOfExpectedValue
(monotonicity)	(monotonicity)	medium	planetmath	PropertiesOfExpectedValue
(n-1)-supercategory	(n-1)-supercategory	high	planetmath	Ncategory
(normalization)	(normalization)	medium	planetmath	PropertiesOfExpectedValue
(quantum logic)	(quantum logic)	medium	planetmath	QuantumTopos
(variable) categories	(variable) categories	medium	planetmath	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
* bulletin (new series) of the american mathematical society	* Bulletin (New Series) of the American Mathematical Society	medium	planetmath	IHESOnTheFusionOfMathematicsAndTheoreticalPhysics
*-convolution	*-convolution	high	planetmath	CategoryOfCalgebras
*-homomorphism	*-homomorphism	high	planetmath	CategoryOfCalgebras
-isomorphism	-isomorphism	medium	planetmath	FisomorphismsInCategories
0-cell	0-cell	high	planetmath	2category
1. the principle of optimal design	1. The Principle of Optimal Design	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
1introduction#thmdefn1	1introduction#Thmdefn1	medium	planetmath	4Measurement
1pi effective action	1pi effective action	medium	se-physics	
2-c*-category	2-C*-category	high	planetmath	2Ccategory
2-categorical composition	2-categorical composition	high	planetmath	2category
2-category	2-category	high	planetmath	2category
2-category of double groupoids	2-category of double groupoids	high	planetmath	2categoryOfDoubleGroupoids
2-category of groupoids	2-category of groupoids	high	planetmath	2categoryOfDoubleGroupoids
2-morphism	2-morphism	high	planetmath	2category
2. stochastic maps	2. Stochastic maps	high	planetmath	2StochasticMaps
2. the principle of relational invariance	2. The Principle of Relational Invariance	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
2.1	2.1	medium	planetmath	QuantumGroupoids
27:	27:	medium	planetmath	QuantumGroupoids
2category	2Category	medium	planetmath	2categoryOfDoubleGroupoids;Supercategory
2category2	2Category2	medium	planetmath	Supercategory
2stochasticmaps#thmeg1	2stochasticmaps#Thmeg1	medium	planetmath	3DistributedDynamicalSystems
2stochasticmaps#thmthm2	2stochasticmaps#Thmthm2	medium	planetmath	4Measurement
2stochasticmaps#thmthm3	2stochasticmaps#Thmthm3	medium	planetmath	3DistributedDynamicalSystems
