term_lower	term	source	canon_or_count
 $\eta (1) =\ln 2$	 $\eta (1) =\ln 2$	pm-title	eta1ln2
 $\omega$-groupoid	 $\omega$-groupoid	pm-title	omegagroupoid
 division factorial	 Division Factorial	pm-title	DivisionFactorial
 hilbert spaces are uniformly convex spaces	 Hilbert spaces are uniformly convex spaces	pm-title	HilbertSpacesAreUniformlyConvexSpaces
 mv-logics in the category of automata 	 MV-Logics in the Category of Automata 	pm-title	MVLogicsInTheCategoryOfAutomata
"fusion" of theoretical physics with mathematics at ihes org	"Fusion" of theoretical physics with mathematics at IHES org	pm-title	FusionOfTheoreticalPhysicsWithMathematicsAtIHESOrg
"hyper-k\"ahler manifold"	"hyper-K\"ahler manifold"	pm-synonym	HyperkahlerManifold
"hyper-k\"ahlerian manifold"	"hyper-K\"ahlerian manifold"	pm-synonym	HyperkahlerManifold
"hypercomplex manifold"	"hypercomplex manifold"	pm-defines	HyperkahlerManifold
"hyperk\"ahler manifold"	"hyperk\"ahler manifold"	pm-defines	HyperkahlerManifold
(closed) walk / trek / trail / path	(closed) walk / trek / trail / path	pm-title	closedWalkTrekTrailPath
(linear) sequence of morphisms	(linear) sequence of morphisms	pm-defines	CategoricalSequence
(m-1) arrows	(m-1) arrows	pm-defines	2groupoid
(n-1)-supercategory	(n-1)-supercategory	pm-defines	Ncategory
(partial) linear space	(partial) linear space	pm-title	partialLinearSpace
(partial) tilting module	(partial) tilting module	pm-title	partialTiltingModule
(path) connectness as a homotopy invariant	(path) connectness as a homotopy invariant	pm-title	pathConnectnessAsAHomotopyInvariant
(special) unitary lie algebra	(special) unitary Lie algebra	pm-title	specialUnitaryLieAlgebra
*-algebra	*-algebra	pm-defines	Topologicalalgebra
*-convolution	*-convolution	pm-defines	CategoryOfCalgebras
*-homomorphism	*-homomorphism	pm-defines	InvolutoryRing
*-semigroup	*-semigroup	pm-synonym	SemigroupWithInvolution
-arity	-arity	pm-synonym	Arity
-ca	-CA	pm-synonym	ComprehensionAxiom
-ind	-IND	pm-synonym	InductionAxiom
-tuple	-tuple	pm-synonym	OrderedTuplet
-tuplet	-tuplet	pm-synonym	OrderedTuplet
-tuplets	-tuplets	pm-synonym	OrderedTuplet
0-cell	0-cell	pm-defines	2category
0-meridian	0-meridian	pm-defines	SurfaceOfRevolution
0/0 is possible and has an answer	0/0 is possible and has an answer	pm-title	00IsPossibleAndHasAnAnswer
1 to 1 correspondence	1 to 1 correspondence	pm-synonym	Bijection
1-1 correspondence	1-1 correspondence	pm-synonym	Bijection
1-4-2 problem	1-4-2 Problem	pm-synonym	CollatzProblem
1-form	1-form	pm-defines	DifferentialForm
1-parameter subgroup	1-parameter subgroup	pm-synonym	OneparameterSubgroup
1. introduction	1. Introduction	pm-title	1Introduction
1.1 type theory versus set theory	1.1 Type theory versus set theory	pm-title	11TypeTheoryVersusSetTheory
1.10 pattern matching and recursion	1.10 Pattern matching and recursion	pm-title	110PatternMatchingAndRecursion
1.11 propositions as types	1.11 Propositions as types	pm-title	111PropositionsAsTypes
1.12 identity types	1.12 Identity types	pm-title	112IdentityTypes
1.12.1 path induction	1.12.1 Path Induction	pm-title	1121PathInduction
1.12.2 equivalence of path induction and based path induction	1.12.2 Equivalence of path induction and based path induction	pm-title	1122EquivalenceOfPathInductionAndBasedPathInduction
1.12.3 disequality	1.12.3 Disequality	pm-title	1123Disequality
1.2 function types	1.2 Function types	pm-title	12FunctionTypes
1.3 universes and families	1.3 Universes and Families	pm-title	13UniversesAndFamilies
1.4 dependent function types	1.4 Dependent function types	pm-title	14DependentFunctionTypes
1.5 product types	1.5 Product types	pm-title	15ProductTypes
1.6 dependent pair types	1.6 Dependent pair types	pm-title	16DependentPairTypes
1.7 coproduct types	1.7 Coproduct types	pm-title	17CoproductTypes
