term_lower	term	confidence	domains	defined_in
#1:	#1:	medium	11_Number_theory	NumericalVerificationOfTheGoldbachConjecture
'non--commutative geometry'	'Non--commutative Geometry'	medium	18_Category_theory_homological_algebra	QuantumGroupoids
($\epsilon=0.2,\beta=0.7,\gamma=0.5$)	($\epsilon=0.2,\beta=0.7,\gamma=0.5$)	medium	34_Ordinary_differential_equations	SomeQualitativeAnalysisOfFitzHughNagumoEquationUsingNullclines
($\operatorname{aut	($\operatorname{Aut	medium	20_Group_theory_and_generalizations	OcticGroup
($d_4$)	($D_4$)	medium	20_Group_theory_and_generalizations	OcticGroup
($t$ is an upper triangular matrix)	($T$ is an upper triangular matrix)	medium	15_Linear_and_multilinear_algebra_matrix_theory	CorollaryOfSchurDecomposition
($y_0$ in the $\delta$ neighborhood of $x_0$)	($y_0$ in the $\delta$ neighborhood of $x_0$)	medium	35_Partial_differential_equations	DependenceOnInitialConditionsOfSolutionsOfOrdinaryDifferentialEquations
(384-322 bc)	(384-322 BC)	medium	01_History_and_biography	Aristotle
(\fm{r	(\fm{R	medium	16_Associative_rings_and_algebras	Bimodule
(\pmlinkescapetext{additive	(\PMlinkescapetext{additive	medium	11_Number_theory	AdditiveBasis
(\pmlinkescapetext{proposition	(\PMlinkescapetext{proposition	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(\ref{item:1	(\ref{item:1	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForMeasurableSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(\ref{item:2	(\ref{item:2	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForMeasurableSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPavedSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(\ref{item:3	(\ref{item:3	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForPavedSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(\ref{item:4	(\ref{item:4	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForPavedSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(\ref{item:5	(\ref{item:5	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForPavedSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(\ref{item:6	(\ref{item:6	medium	28_Measure_and_integration	ProofOfEquivalentDefinitionsOfAnalyticSetsForPavedSpaces;ProofOfEquivalentDefinitionsOfAnalyticSetsForPolishSpaces
(a). quantum algebraic topology	(a). Quantum algebraic topology	medium	57_Manifolds_and_cell_complexes	TopicsInAlgebraicTopology
(a). quantum algebraic topology (qat)	(a). Quantum Algebraic Topology (QAT)	medium	08_General_algebraic_systems	TopicOnTheAlgebraicFoundationsOfQuantumAlgebraicTopology
(a.)	(A.)	medium	40_Sequences_series_summability	TopicOnTheAlgebraicFoundationsOfQuantumAlgebraicTopology12
(ab3)	(Ab3)	medium	18_Category_theory_homological_algebra	AbconditionsAb3AndAb5Conditions;GrothendieckCategory
(ab5).	(Ab5).	medium	18_Category_theory_homological_algebra	AbconditionsAb3AndAb5Conditions;GrothendieckCategory
(abelian)	(Abelian)	medium	20_Group_theory_and_generalizations	GroupsOfSmallOrder
(absolute)	(absolute)	medium	22_Topological_groups_Lie_groups	HilbertWeylTheorem
(actually named by poincar\'e)	(actually named by Poincar\'e)	medium	01_History_and_biography	HenriPoincare
(all congruences are modulo $p$ for the proof; omitted for clarity.)	(All congruences are modulo $p$ for the proof; omitted for clarity.)	medium	11_Number_theory	ProofOfEulersCriterion
(and it is not known if he eventually read
poincar\'e papers)	(and it is not known if he eventually read
Poincar\'e papers)	medium	01_History_and_biography	HenriPoincare
(as stated by gerald w. schwarz)	(as stated by Gerald W. Schwarz)	medium	13_Commutative_rings_and_algebras	Schwarz1975Theorem
(as stated by hermann weyl)	(as stated by Hermann Weyl)	medium	22_Topological_groups_Lie_groups	HilbertWeylTheorem
(b). several suggested new qat topics are:	(b). Several suggested new QAT topics are:	medium	08_General_algebraic_systems;40_Sequences_series_summability	TopicOnTheAlgebraicFoundationsOfQuantumAlgebraicTopology;TopicOnTheAlgebraicFoundationsOfQuantumAlgebraicTopology12
(chebyshev)	(Chebyshev)	medium	11_Number_theory	BoundsOnpin
(closed) walk / trek / trail / path	(closed) walk / trek / trail / path	high	05_Combinatorics	closedWalkTrekTrailPath
(composition)	(composition)	medium	34_Ordinary_differential_equations	DynamicalSystem
(cp)	(CP)	medium	54_General_topology	EquivalentFormulationOfTheTubeLemma
(dependent) elimination rule	(dependent) elimination rule	medium	03_Mathematical_logic_and_foundations	51IntroductionToInductiveTypes
(discrete time) fourier transform, dtft	(Discrete Time) Fourier Transform, DTFT	medium	94_Information_and_communication_circuits	DiscreteTimeFourierTransformInRelationWithContinuousTimeFourierTransform
(does depend on the independent variable)	(does depend on the independent variable)	medium	34_Ordinary_differential_equations	AutonomousSystem
(does not depend on the independent variable)	(does not depend on the independent variable)	medium	34_Ordinary_differential_equations	AutonomousSystem
(either steady state or periodic)	(either steady state or periodic)	medium	34_Ordinary_differential_equations	SymmetryOfASolutionOfAnOrdinaryDifferentialEquation
(extension)	(extension)	medium	08_General_algebraic_systems	CongruenceRelationOnAnAlgebraicSystem
(for example felapton will be reduced to ferio)	(for example Felapton will be reduced to Ferio)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(generalized) darboux function	(generalized) Darboux function	medium	26_Real_functions	GeneralizedDarbouxFunction
(gram-schmidt orthogonalization)	(Gram-Schmidt Orthogonalization)	medium	65_Numerical_analysis	ProofOfGramSchmidtOrthogonalizationProcedure
(here we consider `plato' to be a unique individual)	(here we consider `Plato' to be a unique individual)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(his mother had died previously)	(his mother had died previously)	medium	01_History_and_biography	Aristotle
(i)	(i)	medium	30_Functions_of_a_complex_variable	ProofOfMartysTheorem
(i.e. $\bigcap_{n=1	(i.e. $\bigcap_{n=1	medium	54_General_topology	NestedSphereTheorem
(i.e. $\gamma$ is differentiable)	(i.e. $\gamma$ is differentiable)	medium	34_Ordinary_differential_equations	RollesTheoremForDynamicalSystemsInThePlane
(i.e. $\{ e\	(i.e. $\{ e\	medium	20_Group_theory_and_generalizations	GroupsOfSmallOrder
(i.e. $a\in\mathrm{mat	(i.e. $A\in\mathrm{Mat	medium	15_Linear_and_multilinear_algebra_matrix_theory	SchurDecomposition
(i.e. $h(2)\geq 4$)	(i.e. $H(2)\geq 4$)	medium	34_Ordinary_differential_equations	Hilberts16thProblemForQuadraticVectorFields
(i.e. $u$ nullcline)	(i.e. $u$ nullcline)	medium	34_Ordinary_differential_equations	SomeQualitativeAnalysisOfFitzHughNagumoEquationUsingNullclines
(i.e. $v$ nullcline)	(i.e. $v$ nullcline)	medium	34_Ordinary_differential_equations	SomeQualitativeAnalysisOfFitzHughNagumoEquationUsingNullclines
(i.e. $x(0)\in u'$)	(i.e. $x(0)\in U'$)	medium	34_Ordinary_differential_equations	EquilibriumPoint
(i.e. $x(0)\in u''$)	(i.e. $x(0)\in U''$)	medium	34_Ordinary_differential_equations	EquilibriumPoint
(i.e. $x=y=0$)	(i.e. $x=y=0$)	medium	34_Ordinary_differential_equations	LorenzEquation
(i.e. all men are mortal and some men are mortal, is an example of opposite propositions)	(i.e. All men are mortal and Some men are mortal, is an example of opposite propositions)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(i.e. all s are p and no s are p)	(i.e. All S are P and No S are P)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
